Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8
,,,,,,,,188,7627.025075,5491.458054,13.72864514,137.2864514,3203.350532,109.8291611,1510.150965,12.20324012
,,,,,,,,189,7150.7464,5148.537408,12.87134352,128.7134352,3003.313488,102.9707482,1415.847787,11.44119424
,,,,,,,,190,6641.337925,4781.763306,11.95440827,119.5440827,2789.361929,95.63526612,1314.984909,10.62614068
,,,,,,,,191,6263.5065,4509.72468,11.2743117,112.743117,2630.67273,90.1944936,1240.174287,10.0216104
,,,,,,,,192,6054.46645,4359.215844,10.89803961,108.9803961,2542.875909,87.18431688,1198.784357,9.68714632
,,,,,,,,193,5990.222425,4312.960146,10.78240037,107.8240037,2515.893419,86.25920292,1186.06404,9.58435588
,,,,,,,,194,6229.4895,4485.23244,11.2130811,112.130811,2616.38559,89.7046488,1233.438921,9.9671832
,,,,,,,,195,6657.239425,4793.212386,11.98303097,119.8303097,2796.040559,95.86424772,1318.133406,10.65158308
,,,,,,,,196,7258.147575,5225.866254,13.06466564,130.6466564,3048.421982,104.5173251,1437.11322,11.61303612
,,,,,,,,197,7935.1315,5713.29468,14.2832367,142.832367,3332.75523,114.2658936,1571.156037,12.6962104
,,,,,,,,198,8507.026925,6125.059386,15.31264847,153.1264847,3572.951309,122.5011877,1684.391331,13.61124308
,,,,,,,,199,8830.674775,6358.085838,15.8952146,158.952146,3708.883406,127.1617168,1748.473605,14.12907964
,,,,,,,,200,8843.40565,6367.252068,15.91813017,159.1813017,3714.230373,127.3450414,1750.994319,14.14944904
,,,,,,,,201,8565.792425,6167.370546,15.41842637,154.1842637,3597.632819,123.3474109,1696.0269,13.70526788
,,,,,,,,202,8094.554075,5828.078934,14.57019734,145.7019734,3399.712712,116.5615787,1602.721707,12.95128652
,,,,,,,,203,7505.866275,5404.223718,13.5105593,135.105593,3152.463836,108.0844744,1486.161522,12.00938604
,,,,,,,,204,6975.31835,5022.229212,12.55557303,125.5557303,2929.633707,100.4445842,1381.113033,11.16050936
,,,,,,,,205,6576.92145,4735.383444,11.83845861,118.3845861,2762.307009,94.70766888,1302.230447,10.52307432
,,,,,,,,206,6399.844925,4607.888346,11.51972087,115.1972087,2687.934869,92.15776692,1267.169295,10.23975188
