Time_Index,z1_natural_gas,z1_coal,z1_nuclear,z2_natural_gas,z2_coal,z2_nuclear,z3_natural_gas,z3_coal,z4_natural_gas,z5_natural_gas,z5_coal,z7_natural_gas,z7_coal,z1_solar,z1_wind,z3_solar,z3_wind,z4_solar,z4_wind,z5_solar,z7_solar,z7_wind,z6_wind,z8_solar
169,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.66962,0,0.66962,0,0.66962,0,0,0.66962,0.66962,0
170,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.62272,0,0.62272,0,0.62272,0,0,0.62272,0.62272,0
171,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.624283,0,0.624283,0,0.624283,0,0,0.624283,0.624283,0
172,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.589369,0,0.589369,0,0.589369,0,0,0.589369,0.589369,0
173,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.563835,0,0.563835,0,0.563835,0,0,0.563835,0.563835,0
174,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.487233,0,0.487233,0,0.487233,0,0,0.487233,0.487233,0
175,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.449713,0,0.449713,0,0.449713,0,0,0.449713,0.449713,0
176,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000285,0.375195,0.000285,0.375195,0.000285,0.375195,0.000285,0.000285,0.375195,0.375195,0.000285
177,1,1,1,1,1,1,1,1,1,1,1,1,1,0.058505,0.29703,0.058505,0.29703,0.058505,0.29703,0.058505,0.058505,0.29703,0.29703,0.058505
178,1,1,1,1,1,1,1,1,1,1,1,1,1,0.193208,0.247004,0.193208,0.247004,0.193208,0.247004,0.193208,0.193208,0.247004,0.247004,0.193208
179,1,1,1,1,1,1,1,1,1,1,1,1,1,0.310217,0.219906,0.310217,0.219906,0.310217,0.219906,0.310217,0.310217,0.219906,0.219906,0.310217
180,1,1,1,1,1,1,1,1,1,1,1,1,1,0.388984,0.19802,0.388984,0.19802,0.388984,0.19802,0.388984,0.388984,0.19802,0.19802,0.388984
181,1,1,1,1,1,1,1,1,1,1,1,1,1,0.403253,0.14643,0.403253,0.14643,0.403253,0.14643,0.403253,0.403253,0.14643,0.14643,0.403253
182,1,1,1,1,1,1,1,1,1,1,1,1,1,0.375571,0.147473,0.375571,0.147473,0.375571,0.147473,0.375571,0.375571,0.147473,0.147473,0.375571
